"Country or Area","Year(s)","Variant","Value"
"World","2051","No change","10351895.906"
"World","2051","Momentum","8941496.906"
"World","2050","Medium","9771822.753"
"World","2050","High","10849107.460"
"World","2050","Low","8752754.583"
"World","2050","Constant fertility","10941526.883"
"World","2050","Instant replacement","9314445.944"
"World","2050","Zero migration","9771381.529"
"World","2050","Constant mortality","9183251.420"
"World","2050","No change","10260480.849"
"World","2050","Momentum","8925070.361"
"World","2049","Medium","9720525.979"
"World","2049","High","10745925.649"
"World","2049","Low","8745184.856"
"World","2049","Constant fertility","10811631.481"
"World","2049","Instant replacement","9278085.712"
"World","2049","Zero migration","9720254.162"
"World","2049","Constant mortality","9162215.697"
"World","2049","No change","10170534.255"
"World","2049","Momentum","8907435.314"
"World","2048","Medium","9668093.432"
"World","2048","High","10643322.099"
"World","2048","Low","8735441.407"
"World","2048","Constant fertility","10684578.308"
"World","2048","Instant replacement","9240674.940"
"World","2048","Zero migration","9667974.560"
"World","2048","Constant mortality","9139400.738"
"World","2048","No change","10081948.632"
"World","2048","Momentum","8888543.197"
"World","2047","Medium","9614545.440"
"World","2047","High","10541359.818"
"World","2047","Low","8723511.287"
"World","2047","Constant fertility","10560232.089"
"World","2047","Instant replacement","9202200.341"
"World","2047","Zero migration","9614565.394"
"World","2047","Constant mortality","9114803.874"
"World","2047","No change","9994621.307"
"World","2047","Momentum","8868352.747"
"World","2046","Medium","9559909.195"
"World","2046","High","10440102.500"
"World","2046","Low","8709391.250"
"World","2046","Constant fertility","10438466.815"
"World","2046","Instant replacement","9162647.927"
"World","2046","Zero migration","9560056.420"
"World","2046","Constant mortality","9088429.205"
"World","2046","No change","9908454.839"
"World","2046","Momentum","8846820.229"
"World","2045","Medium","9504209.572"
"World","2045","High","10339587.097"
"World","2045","Low","8693091.461"
"World","2045","Constant fertility","10319159.145"
"World","2045","Instant replacement","9121998.637"
"World","2045","Zero migration","9504474.367"
"World","2045","Constant mortality","9060279.733"
"World","2045","No change","9823353.945"
"World","2045","Momentum","8823897.018"
"World","2044","Medium","9447454.649"
"World","2044","High","10239810.064"
"World","2044","Low","8674621.492"
"World","2044","Constant fertility","10202175.958"
"World","2044","Instant replacement","9080248.568"
"World","2044","Zero migration","9447828.155"
"World","2044","Constant mortality","9030347.267"
"World","2044","No change","9739218.954"
"World","2044","Momentum","8799556.662"
"World","2043","Medium","9389655.929"
"World","2043","High","10140733.844"
"World","2043","Low","8654016.336"
"World","2043","Constant fertility","10087394.021"
"World","2043","Instant replacement","9037370.255"
"World","2043","Zero migration","9390130.069"
"World","2043","Constant mortality","8998625.418"
"World","2043","No change","9655956.399"
"World","2043","Momentum","8773745.795"
"World","2042","Medium","9330845.890"
"World","2042","High","10042309.956"
"World","2042","Low","8631347.857"
"World","2042","Constant fertility","9974715.687"
"World","2042","Instant replacement","8993294.375"
"World","2042","Zero migration","9331413.951"
"World","2042","Constant mortality","8965120.225"
"World","2042","No change","9573485.412"
"World","2042","Momentum","8746356.882"
"World","2041","Medium","9271063.273"
"World","2041","High","9944468.537"
"World","2041","Low","8606709.614"
"World","2041","Constant fertility","9864053.988"
"World","2041","Instant replacement","8947933.720"
"World","2041","Zero migration","9271720.037"
"World","2041","Constant mortality","8929841.453"
"World","2041","No change","9491731.573"
"World","2041","Momentum","8717260.746"
"World","2040","Medium","9210337.004"
"World","2040","High","9847129.011"
"World","2040","Low","8580188.784"
"World","2040","Constant fertility","9755315.789"
"World","2040","Instant replacement","8901225.171"
"World","2040","Zero migration","9211078.441"
"World","2040","Constant mortality","8892795.169"
"World","2040","No change","9410617.978"
"World","2040","Momentum","8686358.420"
"World","2039","Medium","9148683.649"
"World","2039","High","9750240.541"
"World","2039","Low","8551838.603"
"World","2039","Constant fertility","9648399.215"
"World","2039","Instant replacement","8853157.273"
"World","2039","Zero migration","9149506.485"
"World","2039","Constant mortality","8853981.604"
"World","2039","No change","9330064.696"
"World","2039","Momentum","8653612.551"
"World","2038","Medium","9086103.797"
"World","2038","High","9653714.802"
"World","2038","Low","8521711.545"
"World","2038","Constant fertility","9543187.099"
"World","2038","Instant replacement","8803746.140"
"World","2038","Zero migration","9087004.065"
"World","2038","Constant mortality","8813394.127"
"World","2038","No change","9249984.061"
"World","2038","Momentum","8619022.976"
"World","2037","Medium","9022590.075"
"World","2037","High","9557381.222"
"World","2037","Low","8489897.121"
"World","2037","Constant fertility","9439553.680"
"World","2037","Instant replacement","8752995.449"
"World","2037","Zero migration","9023562.244"
"World","2037","Constant mortality","8771025.168"
"World","2037","No change","9170284.847"
"World","2037","Momentum","8582577.915"
"World","2036","Medium","8958126.691"
"World","2036","High","9461032.808"
"World","2036","Low","8456494.159"
"World","2036","Constant fertility","9337366.348"
"World","2036","Instant replacement","8700918.677"
"World","2036","Zero migration","8959163.361"
"World","2036","Constant mortality","8726863.891"
"World","2036","No change","9090872.333"
"World","2036","Momentum","8544280.145"
"World","2035","Medium","8892701.940"
"World","2035","High","9364490.721"
"World","2035","Low","8421592.190"
"World","2035","Constant fertility","9236503.749"
"World","2035","Instant replacement","8647539.953"
"World","2035","Zero migration","8893793.404"
"World","2035","Constant mortality","8680901.800"
"World","2035","No change","9011659.206"
"World","2035","Momentum","8504142.159"
"World","2034","Medium","8826315.616"
"World","2034","High","9267733.375"
"World","2034","Low","8385173.339"
"World","2034","Constant fertility","9136867.035"
"World","2034","Instant replacement","8592864.083"
"World","2034","Zero migration","8827452.336"
"World","2034","Constant mortality","8633135.994"
"World","2034","No change","8932572.293"
"World","2034","Momentum","8462158.089"
"World","2033","Medium","8758973.114"
"World","2033","High","9170703.672"
"World","2033","Low","8347275.580"
"World","2033","Constant fertility","9038370.153"
"World","2033","Instant replacement","8536928.334"
"World","2033","Zero migration","8760144.950"
"World","2033","Constant mortality","8583565.184"
"World","2033","No change","8853544.714"
"World","2033","Momentum","8418350.694"
"World","2032","Medium","8690673.506"
"World","2032","High","9073155.139"
"World","2032","Low","8308100.495"
"World","2032","Constant fertility","8940922.455"
"World","2032","Instant replacement","8479831.419"
"World","2032","Zero migration","8691868.307"
"World","2032","Constant mortality","8532182.606"
"World","2032","No change","8774503.534"
"World","2032","Momentum","8372802.845"
"World","2031","Medium","8621415.775"
"World","2031","High","8974792.089"
"World","2031","Low","8267900.651"
"World","2031","Constant fertility","8844438.857"
"World","2031","Instant replacement","8421699.525"
"World","2031","Zero migration","8622618.848"
"World","2031","Constant mortality","8478981.531"
"World","2031","No change","8695378.090"
"World","2031","Momentum","8325624.695"
"World","2030","Medium","8551198.644"
"World","2030","High","8875432.903"
"World","2030","Low","8226820.800"
"World","2030","Constant fertility","8748839.028"
"World","2030","Instant replacement","8362634.726"
"World","2030","Zero migration","8552393.474"
"World","2030","Constant mortality","8423956.751"
"World","2030","No change","8616103.515"
"World","2030","Momentum","8276906.604"
"World","2029","Medium","8480027.356"
"World","2029","High","8774992.023"
"World","2029","Low","8184927.841"
"World","2029","Constant fertility","8654051.371"
"World","2029","Instant replacement","8302692.145"
"World","2029","Zero migration","8481197.866"
"World","2029","Constant mortality","8367110.905"
"World","2029","No change","8536625.851"
"World","2029","Momentum","8226695.571"
"World","2028","Medium","8407900.352"
"World","2028","High","8673606.754"
"World","2028","Low","8142065.001"
"World","2028","Constant fertility","8560006.418"
"World","2028","Instant replacement","8241888.900"
"World","2028","Zero migration","8409031.227"
"World","2028","Constant mortality","8308446.052"
"World","2028","No change","8456895.932"
"World","2028","Momentum","8175010.261"
"World","2027","Medium","8334801.643"
"World","2027","High","8571608.326"
"World","2027","Low","8097867.833"
"World","2027","Constant fertility","8466631.930"
"World","2027","Instant replacement","8180243.214"
"World","2027","Zero migration","8335876.889"
"World","2027","Constant mortality","8247956.627"
"World","2027","No change","8376864.113"
"World","2027","Momentum","8121879.323"
"World","2026","Medium","8260710.124"
"World","2026","High","8469463.660"
"World","2026","Low","8051834.477"
"World","2026","Constant fertility","8373858.619"
"World","2026","Instant replacement","8117758.937"
"World","2026","Zero migration","8261713.116"
"World","2026","Constant mortality","8185636.022"
"World","2026","No change","8296484.468"
"World","2026","Momentum","8067323.445"
"World","2025","Medium","8185613.757"
"World","2025","High","8367547.932"
"World","2025","Low","8003570.926"
"World","2025","Constant fertility","8281626.942"
"World","2025","Instant replacement","8054447.005"
"World","2025","Zero migration","8186527.923"
"World","2025","Constant mortality","8121483.247"
"World","2025","No change","8215717.746"
"World","2025","Momentum","8011367.821"
"World","2024","Medium","8109532.823"
"World","2024","High","8266066.859"
"World","2024","Low","7952874.306"
"World","2024","Constant fertility","8189889.863"
"World","2024","Instant replacement","7990153.352"
"World","2024","Zero migration","8110325.531"
"World","2024","Constant mortality","8055505.800"
"World","2024","No change","8134532.692"
"World","2024","Momentum","7953857.254"
"World","2023","Medium","8032487.475"
"World","2023","High","8165084.011"
"World","2023","Low","7899703.188"
"World","2023","Constant fertility","8098612.586"
"World","2023","Instant replacement","7924877.480"
"World","2023","Zero migration","8033124.150"
"World","2023","Constant mortality","7987718.492"
"World","2023","No change","8052906.066"
"World","2023","Momentum","7894791.269"
"World","2022","Medium","7954468.982"
"World","2022","High","8064584.649"
"World","2022","Low","7844109.323"
"World","2022","Constant fertility","8007769.160"
"World","2022","Instant replacement","7858946.410"
"World","2022","Zero migration","7954950.870"
"World","2022","Constant mortality","7918141.506"
"World","2022","No change","7970820.769"
"World","2022","Momentum","7834510.532"
"World","2021","Medium","7875464.634"
"World","2021","High","7964548.504"
"World","2021","Low","7786159.167"
"World","2021","Constant fertility","7917341.030"
"World","2021","Instant replacement","7792803.803"
"World","2021","Zero migration","7875837.821"
"World","2021","Constant mortality","7846798.040"
"World","2021","No change","7888265.723"
"World","2021","Momentum","7773476.621"
"World","2020","Medium","7795482.309"
"World","2020","High","7865018.659"
"World","2020","Low","7725860.308"
"World","2020","Constant fertility","7827315.066"
"World","2020","Instant replacement","7726666.102"
"World","2020","Zero migration","7795816.178"
"World","2020","Constant mortality","7773712.741"
"World","2020","No change","7805234.785"
"World","2020","Momentum","7711917.064"
"World","2019","Medium","7714576.923"
"World","2019","High","7766124.032"
"World","2019","Low","7663136.954"
"World","2019","Constant fertility","7737681.494"
"World","2019","Instant replacement","7660906.287"
"World","2019","Zero migration","7714915.692"
"World","2019","Constant mortality","7698909.743"
"World","2019","No change","7721725.454"
"World","2019","Momentum","7650251.687"
"World","2018","Medium","7632819.325"
"World","2018","High","7668093.338"
"World","2018","Low","7597815.559"
"World","2018","Constant fertility","7648434.379"
"World","2018","Instant replacement","7595171.090"
"World","2018","Zero migration","7633162.614"
"World","2018","Constant mortality","7622413.887"
"World","2018","No change","7637740.011"
"World","2018","Momentum","7588129.226"
"World","2017","Medium","7550262.101"
"World","2017","High","7571259.156"
"World","2017","Low","7529619.677"
"World","2017","Constant fertility","7559571.757"
"World","2017","Instant replacement","7528083.778"
"World","2017","Zero migration","7550580.590"
"World","2017","Constant mortality","7544249.092"
"World","2017","No change","7553284.442"
"World","2017","Momentum","7524090.075"
"World","2016","Medium","7466964.280"
"World","2016","High","7476053.631"
"World","2016","Low","7458174.982"
"World","2016","Constant fertility","7471094.883"
"World","2016","Instant replacement","7457775.926"
"World","2016","Zero migration","7467190.180"
"World","2016","Constant mortality","7464439.445"
"World","2016","No change","7468369.289"
"World","2016","Momentum","7456149.740"
"World","2015","Medium","7383008.820"
"World","2015","High","7383008.820"
"World","2015","Low","7383008.820"
"World","2015","Constant fertility","7383008.820"
"World","2015","Instant replacement","7383008.820"
"World","2015","Zero migration","7383008.820"
"World","2015","Constant mortality","7383008.820"
"World","2015","No change","7383008.820"
"World","2015","Momentum","7383008.820"
"World","2014","Medium","7298453.033"
"World","2014","High","7298453.033"
"World","2014","Low","7298453.033"
"World","2014","Constant fertility","7298453.033"
"World","2014","Instant replacement","7298453.033"
